IdVenta,DocuVenta,Fecha,Total,SubTotal,IGV,IdVendedor,IdCliente
63,B/001-000885,2018-01-12 00:00:00,10,8.4000000000000004,1.6000000000000001,2,11
64,B/001-000886,2018-01-12 00:00:00,11.5,9.6600000000000001,1.8400000000000001,2,17
65,B/001-000888,2018-01-12 00:00:00,11.5,9.6600000000000001,1.8400000000000001,2,18
66,B/001-000889,2018-01-12 00:00:00,10,8.4000000000000004,1.6000000000000001,2,19
67,B/001-000890,2018-01-12 00:00:00,35,29.41,5.5899999999999999,3,12
68,B/001-000891,2018-01-12 00:00:00,6,5.04,0.95999999999999996,3,16
69,B/001-000892,2018-01-12 00:00:00,12,10.08,1.9199999999999999,3,1
70,B/001-000893,2018-01-12 00:00:00,9,7.5599999999999996,1.4399999999999999,3,2
71,B/001-000894,2018-01-12 00:00:00,12,10.08,1.9199999999999999,3,3
72,B/001-000895,2018-01-12 00:00:00,23,19.329999999999998,3.6699999999999999,3,4
73,B/001-000896,2018-01-12 00:00:00,6,5.04,0.95999999999999996,3,5
74,B/001-000897,2018-01-12 00:00:00,4.9800000000000004,4.1799999999999997,0.79000000000000004,3,4
75,B/001-000898,2018-01-12 00:00:00,5,4.2000000000000002,0.80000000000000004,3,5
76,B/001-000899,2018-01-12 00:00:00,5,4.2000000000000002,0.80000000000000004,3,6
77,B/001-000900,2018-01-12 00:00:00,5,4.2000000000000002,0.80000000000000004,3,7
78,B/001-000901,2018-01-06 00:00:00,10,8.4000000000000004,1.6000000000000001,3,8
79,B/001-000902,2018-01-06 00:00:00,25,21.010000000000002,3.9900000000000002,3,7
80,B/001-000903,2018-01-07 00:00:00,10,8.4000000000000004,1.6000000000000001,3,6
81,B/001-000904,2018-01-07 00:00:00,15,12.609999999999999,2.3999999999999999,3,8
82,B/001-000906,2018-01-07 00:00:00,5,4.2000000000000002,0.80000000000000004,3,9
83,B/001-000907,2018-01-07 00:00:00,29,24.370000000000001,4.6299999999999999,3,1
84,B/001-000908,2018-01-08 00:00:00,26,21.850000000000001,4.1500000000000004,3,11
85,B/001-000909,2018-01-08 00:00:00,8,6.7199999999999998,1.28,3,12
86,B/001-000910,2018-01-08 00:00:00,20,16.809999999999999,3.1899999999999999,3,13
87,B/001-000911,2018-01-08 00:00:00,7,5.8799999999999999,1.1200000000000001,3,14
88,B/001-000912,2018-01-08 00:00:00,22,18.489999999999998,3.5099999999999998,3,14
89,B/001-000913,2018-01-08 00:00:00,6,5.04,0.95999999999999996,3,15
90,B/001-000914,2018-01-08 00:00:00,12,10.08,1.9199999999999999,3,16
91,B/001-000915,2018-01-08 00:00:00,15,12.609999999999999,2.3999999999999999,3,13
92,B/001-000916,2018-01-08 00:00:00,10.99,9.2400000000000002,1.76,3,14
93,B/001-000917,2018-01-09 00:00:00,5,4.2000000000000002,0.80000000000000004,3,12
94,B/001-000918,2018-01-09 00:00:00,5,4.2000000000000002,0.80000000000000004,3,1
95,B/001-000919,2018-01-09 00:00:00,16,13.449999999999999,2.5600000000000001,3,2
96,B/001-000920,2018-01-09 00:00:00,14.5,12.18,2.3100000000000001,2,7
97,B/001-000921,2018-01-09 00:00:00,10,8.4000000000000004,1.6000000000000001,3,8
98,B/001-000922,2018-01-09 00:00:00,5,4.2000000000000002,0.80000000000000004,3,7
99,B/001-000923,2018-01-09 00:00:00,7,5.8799999999999999,1.1200000000000001,3,8
100,B/001-000924,2018-01-09 00:00:00,12,10.08,1.9199999999999999,3,9
101,B/001-000925,2018-01-09 00:00:00,20,16.809999999999999,3.1899999999999999,3,8
102,B/001-000926,2018-01-09 00:00:00,6,5.04,0.95999999999999996,3,7
103,B/001-000927,2018-01-09 00:00:00,10,8.4000000000000004,1.6000000000000001,3,7
104,B/001-000928,2018-01-09 00:00:00,23,19.329999999999998,3.6699999999999999,3,8
105,B/001-000929,2018-01-09 00:00:00,9,7.5599999999999996,1.4399999999999999,2,9
106,B/001-000930,2018-01-09 00:00:00,4,3.3599999999999999,0.64000000000000001,2,7
107,B/001-000931,2018-01-09 00:00:00,12,10.08,1.9199999999999999,3,6
108,B/001-000932,2018-01-09 00:00:00,20,16.809999999999999,3.1899999999999999,2,6
109,B/001-000934,2018-01-09 00:00:00,30,25.210000000000001,4.79,2,7
110,B/001-000935,2018-01-09 00:00:00,6,5.04,0.95999999999999996,3,6
111,B/001-000936,2018-01-09 00:00:00,10,8.4000000000000004,1.6000000000000001,3,6
112,B/001-000937,2018-01-09 00:00:00,11,9.2400000000000002,1.76,3,7
113,B/001-000938,2018-01-09 00:00:00,12,10.08,1.9199999999999999,3,8
114,B/001-000939,2018-01-09 00:00:00,22.5,18.91,3.5899999999999999,3,9
115,B/001-000940,2018-01-09 00:00:00,9.5,7.9800000000000004,1.52,2,8
116,B/001-000941,2018-01-11 00:00:00,6,5.04,0.95999999999999996,3,8
117,B/001-000942,2018-01-11 00:00:00,30,25.210000000000001,4.79,2,6
118,B/001-000943,2018-01-11 00:00:00,5.4900000000000002,4.6100000000000003,0.88,3,7
119,B/001-000944,2018-01-11 00:00:00,10.5,8.8200000000000003,1.6799999999999999,2,3
120,B/001-000945,2018-01-11 00:00:00,18,15.130000000000001,2.8700000000000001,3,4
121,B/001-000946,2018-01-11 00:00:00,22,18.489999999999998,3.5099999999999998,3,4
122,B/001-000947,2018-01-11 00:00:00,5,4.2000000000000002,0.80000000000000004,3,4
123,B/001-000948,2018-01-11 00:00:00,7,5.8799999999999999,1.1200000000000001,3,5
124,B/001-000949,2018-01-11 00:00:00,6,5.04,0.95999999999999996,2,6
125,B/001-000950,2018-01-11 00:00:00,19,15.970000000000001,3.0299999999999998,2,7
126,B/001-000951,2018-01-12 00:00:00,12,10.08,1.9199999999999999,3,6
127,B/001-000952,2018-01-12 00:00:00,8,6.7199999999999998,1.28,3,5
128,B/001-000953,2018-01-12 00:00:00,15.5,13.029999999999999,2.48,3,5
129,B/001-000954,2018-01-12 00:00:00,5,4.2000000000000002,0.80000000000000004,2,6
130,B/001-000955,2018-01-13 00:00:00,10,8.4000000000000004,1.6000000000000001,3,7
131,B/001-000956,2018-01-13 00:00:00,112.5,94.540000000000006,17.960000000000001,3,8
132,B/001-000957,2018-01-13 00:00:00,88,73.950000000000003,14.050000000000001,3,7
133,B/001-000958,2018-01-13 00:00:00,35,29.41,5.5899999999999999,3,6
134,B/001-000959,2018-01-13 00:00:00,7.7999999999999998,6.5499999999999998,1.24,3,7
